Format Version,1.23,Take Name,Take 2024-01-10 11.43.30 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-10 11.43.30.991 ,Total Frames in Take,5832,Total Exported Frames,5832,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001
,ID,"3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
223,2.230000,-0.002050,0.004078,0.008104,-0.999957,37.459003,688.100891,170.894287
224,2.240000,-0.001172,0.004360,0.007500,-0.999962,37.492317,688.005249,170.974899
225,2.250000,-0.001361,0.004329,0.007520,-0.999961,37.492477,688.004883,170.980499
226,2.260000,-0.002260,0.003798,0.007795,-0.999960,37.437229,688.091431,170.911118
227,2.270000,-0.001024,0.004522,0.007596,-0.999960,37.491116,688.017151,170.943863
228,2.280000,-0.001160,0.004424,0.007653,-0.999960,37.495941,688.011353,170.962997
229,2.290000,-0.001378,0.004431,0.007542,-0.999961,37.495792,688.011353,170.981491
230,2.300000,-0.002189,0.003724,0.007662,-0.999961,37.444687,688.092529,170.906937
231,2.310000,-0.001184,0.004496,0.007657,-0.999960,37.499710,688.013245,170.961349
232,2.320000,-0.002223,0.003836,0.007636,-0.999961,37.444534,688.086670,170.918991
233,2.330000,-0.002086,0.003948,0.007821,-0.999960,37.454456,688.099915,170.891663
234,2.340000,-0.002260,0.003843,0.007672,-0.999961,37.444546,688.101257,170.915451
235,2.350000,-0.001193,0.003782,0.008074,-0.999960,37.451809,688.025146,170.962387
236,2.360000,-0.002074,0.003283,0.007807,-0.999962,37.430576,688.083557,170.917068
237,2.370000,-0.001100,0.004519,0.007596,-0.999960,37.494911,688.010071,170.950394
238,2.380000,-0.001008,0.004438,0.007573,-0.999961,37.491940,688.020142,170.942368
239,2.390000,-0.001141,0.004508,0.007559,-0.999961,37.501408,688.006104,170.964630
240,2.400000,-0.002193,0.003704,0.007736,-0.999961,37.439159,688.088562,170.908005
241,2.410000,-0.001933,0.003836,0.008012,-0.999959,37.442833,688.094971,170.881516
242,2.420000,-0.002121,0.004120,0.008231,-0.999955,37.453018,688.095032,170.896011
243,2.430000,-0.002109,0.003743,0.007949,-0.999959,37.446655,688.097168,170.905273
244,2.440000,-0.002088,0.003825,0.008035,-0.999958,37.439316,688.092163,170.903015
245,2.450000,-0.001083,0.004461,0.007557,-0.999961,37.487854,688.008850,170.958664
246,2.460000,-0.002055,0.003868,0.007825,-0.999960,37.444397,688.085938,170.897614
247,2.470000,-0.002322,0.003989,0.007902,-0.999958,37.451454,688.111938,170.909500
248,2.480000,-0.001173,0.004672,0.007795,-0.999958,37.505474,688.016113,170.954758
249,2.490000,-0.001321,0.004285,0.007460,-0.999962,37.490601,688.017639,170.974075
